country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Europe,1997,,730322947,,114.895,0.157,6266.118,-205.43,-3.174,6217.627,-624.173,-9.123,8.517,0.438,0.205,8.584,0.441,0.206,2073.491,2.84,6381.248,8.741,0.449,6269.263,394510.469,536452.625,242939.156,1080.53,39095.684,154737.141,104481.727,644.119,42028.742,,55.398,0.076,1702.494,2.332,10.003,10.952,-47.916,-0.066,1324.877,1.814,484.64,0.664,2254.034,3.088,0.09,65.806,30616.441,17.346,25.679,19.547,23.096,38.264,40.565,32.301,48.683,10.518,36.186,22.335,31.148,18.975,15.704,38.511,-0.647,23.084,29.41,27.33,0.063,0.222,0.301,0.016,7998.389,7305.761,115.13,1.837
Europe,1998,,729778939,,117.091,0.161,6239.436,-26.682,-0.426,6136.604,-81.023,-1.303,8.412,0.419,0.201,8.553,0.426,0.204,1982.381,2.718,6348.89,8.703,0.434,6386.354,400749.875,542589.188,244921.531,1135.434,40851.758,154634.922,106746.531,708.297,42228.625,,54.904,0.075,1756.078,2.407,9.895,10.742,-102.222,-0.14,1279.167,1.753,448.216,0.614,2264.803,3.105,0.088,64.178,30757.67,17.739,25.673,20.154,22.693,37.47,40.202,32.083,48.236,10.702,36.31,22.124,30.913,19.593,16.317,39.307,-1.664,22.915,29.096,27.118,0.063,0.225,0.304,0.016,7839.001,7221.496,109.454,1.754
Europe,1999,,729149183,,118.831,0.163,6156.371,-83.065,-1.331,6097.435,-39.17,-0.638,8.366,0.401,0.2,8.447,0.405,0.202,1901.721,2.609,6273.835,8.608,0.412,6505.185,406906.281,548686.625,246823.25,1191.409,42630.383,154576.609,108983.273,772.785,42210.465,,55.974,0.077,1778.619,2.44,9.771,10.625,-58.32,-0.08,1263.951,1.733,430.443,0.59,2236.739,3.069,0.088,64.488,30730.572,17.155,24.77,19.761,21.457,36.676,39.826,31.862,47.777,10.89,36.399,21.927,30.66,20.154,16.963,38.552,-0.972,22.069,29.409,26.905,0.062,0.228,0.306,0.016,7747.328,7124.829,117.465,1.908
Europe,2000,,729112155,,122.073,0.167,6154.3,-2.071,-0.034,5963.216,-134.219,-2.201,8.182,0.372,0.193,8.444,0.384,0.199,1964.582,2.696,6310.488,8.659,0.394,6627.258,413060.562,554649.875,248787.828,1247.534,44422.277,154386.203,111136.781,838.892,42731.355,,56.125,0.077,1791.897,2.459,9.768,10.434,-190.41,-0.261,1251.112,1.716,430.675,0.591,2153.516,2.955,0.091,66.107,31104.887,16.861,24.125,19.356,21.349,35.899,39.444,31.642,47.314,11.053,36.45,21.737,30.388,20.71,16.171,37.725,-3.595,20.967,30.559,26.683,0.061,0.23,0.308,0.016,7607.69,7122.148,156.188,2.538
Europe,2001,,729202129,,120.331,0.165,6280.917,126.617,2.057,5980.625,17.41,0.292,8.205,0.36,0.191,8.617,0.378,0.201,1996.655,2.739,6465.203,8.87,0.39,6747.588,419341.5,560630.438,250784.484,1302.809,46258.266,154086.656,113343.695,904.653,43310.816,,55.275,0.076,1835.987,2.519,9.939,10.467,-299.544,-0.411,1241.353,1.702,427.277,0.586,2206.908,3.028,0.09,65.761,31523.469,15.888,24.433,19.627,21.569,35.11,39.084,31.437,46.869,11.209,36.52,21.55,30.139,21.216,16.466,38.293,-6.286,21.326,30.824,26.469,0.061,0.233,0.31,0.017,7632.794,7247.81,184.286,2.934
Europe,2002,,730108231,,121.384,0.166,6248.751,-32.166,-0.512,5935.872,-44.754,-0.748,8.134,0.348,0.191,8.562,0.366,0.201,1974.53,2.706,6444.75,8.831,0.378,6868.973,425590.219,566566.312,252759.016,1368.479,48093.023,153774.484,115530.352,970.397,43055.496,,65.67,0.09,1834.76,2.514,9.885,10.384,-312.169,-0.428,1235.194,1.692,428.914,0.587,2186.663,2.996,0.09,65.744,31341.008,15.459,23.78,18.901,20.396,34.339,38.718,31.22,46.398,11.454,36.544,21.353,29.899,21.659,20.229,37.161,-6.087,21.164,30.395,26.249,0.06,0.236,0.313,0.017,7581.48,7217.157,195.999,3.137
Europe,2003,,731376242,,125.169,0.171,6389.753,141.002,2.256,6162.762,226.891,3.822,8.43,0.35,0.195,8.74,0.363,0.202,2019.792,2.763,6682.338,9.141,0.38,6994.142,431980,572729.125,254778.797,1434.32,50017.027,153548.203,117717.555,1038.143,43728.496,,65.841,0.09,1924.003,2.632,10.073,10.682,-226.273,-0.31,1238.82,1.694,429.781,0.588,2187.203,2.992,0.093,67.746,31852.928,14.494,23.093,18.263,19.202,33.518,38.335,30.983,45.883,11.669,36.583,21.144,29.651,22.082,19.111,37.591,-3.724,20.628,30.649,26.014,0.059,0.238,0.315,0.017,7812.688,7366.895,292.584,4.579
Europe,2004,,732264288,,132.795,0.181,6419.04,29.287,0.458,6249.64,86.878,1.41,8.538,0.34,0.195,8.77,0.35,0.201,2005.13,2.739,6773.503,9.254,0.369,7126.937,438399.031,578978.75,256783.938,1504.169,51974.555,153379.719,119901.227,1108.22,44258.059,,69.849,0.095,1957.525,2.674,10.101,10.773,-168.503,-0.23,1226.646,1.675,426.447,0.582,2183.664,2.983,0.096,70.077,32272.164,14.713,22.419,18.362,18.442,32.738,37.94,30.755,45.356,11.905,36.6,20.964,29.387,22.466,20.39,37.042,-3.118,19.854,30.262,25.783,0.059,0.241,0.317,0.017,7888.516,7396.894,354.463,5.522
Europe,2005,,733082921,,135.467,0.185,6422.172,3.131,0.049,6197.516,-52.124,-0.834,8.458,0.325,0.193,8.764,0.337,0.2,1961.13,2.676,6910.534,9.431,0.363,7262.403,444821.219,585176.25,258745.062,1576.913,53954.223,153155.922,122104.148,1178.447,44337.477,,72.744,0.099,1979.671,2.702,10.09,10.664,-223.788,-0.305,1209.474,1.65,425.646,0.581,2202.933,3.006,0.096,70.227,32365.791,13.99,21.686,17.961,16.983,31.94,37.534,30.525,44.789,12.147,36.602,20.795,29.134,22.771,20.91,36.643,-4.576,19.836,28.988,25.546,0.058,0.244,0.319,0.017,7817.843,7397.014,488.362,7.604
Europe,2006,,733738758,,141.65,0.193,6529.996,107.824,1.679,6319.22,121.704,1.964,8.616,0.316,0.193,8.904,0.326,0.2,2039.091,2.78,7092.985,9.671,0.354,7404.054,451351.219,591495.5,260784.156,1651.409,55941.352,152945.969,124319.469,1250.766,44872.352,,74.495,0.102,1987.131,2.709,10.226,10.85,-209.954,-0.286,1207.007,1.645,419.32,0.571,2215.31,3.021,0.099,72.319,32797.777,13.416,21.32,17.573,16.722,31.118,37.126,30.286,44.209,12.389,36.571,20.617,28.889,23.042,21.437,35.759,-3.938,19.743,28.589,25.302,0.057,0.247,0.322,0.018,7960.903,7503.508,562.989,8.622
Europe,2007,,734969351,,150.758,0.205,6473.897,-56.098,-0.859,6378.48,59.261,0.938,8.682,0.303,0.196,8.812,0.308,0.199,2041.445,2.779,7181.357,9.775,0.341,7554.812,457825.094,597874,262825.594,1736.079,57926.445,152851.391,126457.945,1324.215,44457.367,,84.67,0.115,1985.093,2.702,10.126,10.819,-94.569,-0.129,1199.614,1.632,424.831,0.578,2138.482,2.911,0.1,73.449,32563.539,13.294,20.529,17.655,15.968,30.307,36.706,30.057,43.61,12.697,36.495,20.477,28.637,23.282,24.667,34.462,-2.058,19.004,28.292,25.065,0.057,0.25,0.324,0.018,7951.957,7442.133,707.46,10.928
Europe,2008,,736640719,,139.159,0.189,6406.544,-67.354,-1.04,6259.054,-119.427,-1.872,8.501,0.29,0.193,8.701,0.297,0.198,1967.317,2.672,7147.385,9.707,0.332,7693.97,464231.625,604133,264792.906,1805.259,59940.617,152711.891,128603.617,1395.264,44213.359,,69.18,0.094,2014.169,2.735,9.988,10.674,-139.512,-0.189,1193.318,1.62,415.217,0.564,2145.67,2.914,0.096,71.049,32468.004,12.111,19.974,16.937,14.902,29.505,36.286,29.818,42.994,12.887,36.404,20.326,28.403,23.459,20.668,33.985,-2.859,19.154,27.335,24.827,0.056,0.252,0.326,0.018,7862.873,7357.419,740.841,11.564
Europe,2009,,738045338,,111.729,0.151,5892.903,-513.641,-8.017,5915.457,-343.597,-5.49,8.019,0.286,0.194,7.988,0.285,0.193,1750.703,2.373,6519.6,8.838,0.315,7805.7,470124.562,610048.5,266543.625,1873.381,61805.25,152743.109,130644.492,1452.107,41481.477,,68.122,0.092,1864.631,2.528,9.222,10.025,31.232,0.042,1158.272,1.569,397.958,0.539,2040.874,2.766,0.077,56.843,30530.928,9.452,18.683,16.068,13.42,28.636,35.863,29.572,42.381,13.066,36.263,20.188,28.172,23.452,20.618,32.238,0.592,18.627,23.293,24.588,0.055,0.255,0.328,0.018,7398.559,6806.465,626.697,10.635
Europe,2010,,739273391,,113.756,0.154,6116.594,223.691,3.796,6319.022,403.565,6.822,8.552,0.295,0.2,8.278,0.286,0.193,1819.636,2.463,6802.609,9.206,0.318,7919.456,476241.125,616367.5,268363.25,1951.54,63828.863,152954.516,132663.797,1514.221,43025.473,,78.16,0.106,2023.615,2.739,9.537,10.624,211.4,0.286,1169.929,1.583,404.278,0.547,2019.312,2.733,0.084,62.114,31727.25,9.006,18.337,16.268,13.04,27.766,35.428,29.326,41.744,13.294,36.13,20.071,27.925,23.521,22.904,32.493,3.852,17.833,25.234,24.351,0.054,0.258,0.331,0.018,7853.912,7050.157,686.016,11.216
Europe,2011,,740505908,,116.373,0.157,6045.117,-71.477,-1.169,5974.34,-344.682,-5.455,8.072,0.271,0.191,8.167,0.274,0.193,1861.723,2.515,6675.55,9.019,0.303,8035.829,482286.281,622341.875,270224.969,2033.682,65778.484,152892.609,134634.031,1579.258,42409.57,,82.142,0.111,1949.619,2.634,9.45,10.165,-61.927,-0.084,1166.744,1.576,421.667,0.569,1970.224,2.662,0.088,65.037,31329.412,8.564,17.52,15.017,12.632,26.893,34.98,29.06,41.092,13.523,35.93,19.924,27.678,23.526,22.862,30.406,-1.173,17.341,23.644,24.098,0.054,0.261,0.333,0.019,7526.967,6998.04,630.433,10.429
Europe,2012,,741624513,,112.226,0.151,5998.561,-46.556,-0.77,6236.625,262.285,4.39,8.413,0.282,0.2,8.092,0.271,0.192,1910.994,2.578,6535.319,8.816,0.295,8148.055,488284.812,628578.438,272135.969,2116.051,67680.453,153139.078,136561.641,1642.638,42241.352,,82.37,0.111,1901.974,2.566,9.38,10.484,246.487,0.333,1169.945,1.578,421.82,0.569,1927.618,2.6,0.086,63.38,31261.297,8.046,17.139,15.342,12.819,26.053,34.538,28.805,40.465,13.726,35.692,19.811,27.426,23.501,21.845,29.037,4.361,16.77,22.906,23.861,0.053,0.263,0.335,0.019,7775.181,6956.138,536.759,8.948
Europe,2013,,742654890,,110.123,0.148,5841.422,-157.138,-2.62,5916.277,-320.348,-5.137,7.97,0.266,0.192,7.869,0.263,0.189,1840.229,2.479,6351.676,8.557,0.285,8258.178,494126.25,634494.688,273976.188,2196.623,69530.586,153222.547,138458.578,1706.074,41737.449,,80.572,0.109,1850.131,2.492,9.142,10.099,83.457,0.112,1161.805,1.564,423.763,0.571,1896.931,2.555,0.085,63.436,30934.982,7.571,16.547,14.638,12.267,25.231,34.1,28.547,39.85,13.902,35.436,19.691,27.175,23.422,20.913,28.084,1.631,16.384,21.538,23.634,0.053,0.266,0.338,0.019,7500.068,6789.178,510.254,8.735
Europe,2014,,743842712,,112.694,0.152,5611.03,-230.392,-3.944,5556.65,-359.627,-6.079,7.474,0.246,0.185,7.547,0.248,0.187,1731.158,2.328,6111.952,8.221,0.271,8370.872,499737.25,640051.375,275707.375,2266.258,71261.078,153175.859,140361.859,1769.834,40443,,69.635,0.094,1730.493,2.328,8.791,9.614,-46.666,-0.063,1146.465,1.541,427.411,0.575,1903.29,2.56,0.086,63.76,30016.424,7.501,15.828,13.604,11.527,24.453,33.664,28.278,39.244,14,35.131,19.55,26.935,23.319,18.008,26.096,-0.865,16.399,20.879,23.404,0.052,0.269,0.34,0.019,7151.624,6539.252,500.922,8.927
Europe,2015,,745456775,,108.236,0.145,5616.481,5.451,0.097,5878.12,321.469,5.785,7.889,0.257,0.197,7.538,0.246,0.188,1708.042,2.292,5949.069,7.984,0.26,8479.108,505353.75,645929.5,277415.406,2330.306,72979.094,153446.406,142317.594,1832.235,40300.395,,64.048,0.086,1718.019,2.306,8.771,9.925,270.522,0.363,1139.14,1.528,426.511,0.572,1955.734,2.625,0.084,62.402,29955.061,7.459,15.864,14.359,11.645,23.762,33.249,28.03,38.68,14.062,34.816,19.447,26.704,23.213,16.679,25.389,4.89,16.53,20.552,23.196,0.052,0.271,0.342,0.019,7398.365,6538.486,332.588,5.922
Europe,2016,,747240427,,106.003,0.142,5602.062,-14.42,-0.257,5868.395,-9.725,-0.165,7.857,0.252,0.194,7.501,0.241,0.185,1613.441,2.16,5998.921,8.032,0.258,8585.11,510955.812,651797.938,279028.844,2396.909,74768.203,153722.141,144283.609,1893.137,40722.195,,66.603,0.089,1789.106,2.395,8.743,9.859,275.743,0.369,1147.361,1.535,428.324,0.573,1966.008,2.632,0.082,60.901,30318.334,7.112,15.818,14.736,11.254,23.094,32.852,27.804,38.142,14.145,34.525,19.374,26.479,23.105,17.807,25.733,6.258,16.434,20.267,23.007,0.052,0.274,0.345,0.019,7367.144,6533.227,396.86,7.084
Europe,2017,,748683743,,108.453,0.145,5635.927,33.866,0.605,5887.824,19.429,0.331,7.868,0.246,0.193,7.531,0.236,0.185,1561.311,2.086,6019.865,8.044,0.252,8693.564,516591.75,657685.75,280590.156,2469.059,76614.328,153982.75,146269.672,1954.956,40995.836,,72.15,0.096,1846.126,2.467,8.792,9.838,260.612,0.348,1160.272,1.55,431.02,0.576,1986.067,2.654,0.083,61.819,30568.859,7.185,15.66,14.639,10.758,22.474,32.463,27.582,37.61,14.245,34.25,19.303,26.258,23.009,18.63,25.9,6.16,16.347,20.416,22.822,0.051,0.276,0.348,0.02,7365.581,6582.323,383.938,6.812
Europe,2018,,749835851,,109.391,0.146,5617.016,-18.911,-0.336,5914.482,26.658,0.453,7.891,0.242,0.192,7.495,0.23,0.182,1524.963,2.035,6035.514,8.053,0.247,8802.955,522208.781,663600.25,282115.125,2548.589,78495.188,154289,148227.938,2018.972,41386.852,,79.53,0.106,1880.853,2.51,8.781,9.86,306.237,0.409,1174.24,1.566,427.377,0.57,1958.263,2.613,0.085,64.016,30898.5,7.037,15.293,14.577,10.341,21.877,32.076,27.365,37.081,14.366,33.957,19.249,26.037,22.944,19.536,25.178,7.965,15.987,21.117,22.642,0.051,0.279,0.35,0.02,7393.469,6584.511,418.498,7.451
Europe,2019,,750791010,,110.019,0.147,5436.906,-180.11,-3.207,5528.837,-385.645,-6.52,7.368,0.222,0.182,7.245,0.219,0.179,1340.682,1.787,5875.224,7.829,0.236,8912.974,527645.688,669129.062,283455.812,2640.207,80365.867,154390.031,150190.375,2080.431,40689.801,,91.618,0.122,1870.686,2.493,8.545,9.42,101.051,0.135,1183.065,1.576,428.923,0.571,1962.442,2.615,0.082,61.459,30412.301,6.778,14.653,13.521,9.123,21.292,31.688,27.135,36.551,14.526,33.655,19.171,25.819,22.85,21.049,24.505,2.669,15.811,20.136,22.458,0.051,0.281,0.353,0.02,7072.725,6415.389,438.318,8.062
Europe,2020,,750826495,,107.15,0.143,5026.315,-410.591,-7.552,5190.953,-337.885,-6.111,6.917,0.221,0.182,6.698,0.214,0.177,1171.632,1.561,5432.334,7.239,0.231,9020.124,532672,674320,284627.438,2725.125,82180.734,154563.875,151979.875,2138.696,38172.617,,84.918,0.113,1814.865,2.418,7.963,8.915,173.835,0.232,1158.765,1.543,426.149,0.568,1789.485,2.384,0.078,58.265,28532.605,6.54,14.309,13.46,8.212,20.736,31.329,26.925,36.039,14.67,33.358,19.111,25.643,22.752,21.174,23.992,5.055,16.326,19.746,22.287,0.051,0.284,0.355,0.02,6693.422,5978.585,406.019,8.078
Europe,2021,,749931027,,111.381,0.149,5304.04,277.724,5.525,5495.522,304.569,5.867,7.332,0.222,0.185,7.076,0.214,0.179,1266.945,1.69,5790.144,7.725,0.234,9131.506,537976,679815.562,285894.375,2809.839,84112.734,154764.938,153826.859,2200.701,39855.137,,84.714,0.113,1931.999,2.577,8.38,9.356,201.067,0.268,1175.001,1.567,429.434,0.573,1846.995,2.464,0.083,62.005,29748.58,6.566,14.338,13.554,8.371,20.204,30.967,26.712,35.519,14.803,33.078,19.052,25.459,22.684,20.895,24.385,5.659,16.018,20.569,22.116,0.051,0.286,0.358,0.02,7016.046,6284.28,486.104,9.165
Europe,2022,,748296158,,108.624,0.145,5228.87,-75.169,-1.417,5489.547,-5.975,-0.109,7.34,0.217,0.192,6.991,0.207,0.183,1263.072,1.689,5814.726,7.774,0.23,9240.131,543204.875,685305.062,287157.438,2895.515,85942.953,155035.094,155706.172,2262.658,39024.594,,85.676,0.115,1830.213,2.447,8.274,9.312,270.148,0.361,1159.478,1.549,422.963,0.565,1879.327,2.513,0.083,61.958,29065.789,6.784,14.021,13.443,8.317,19.745,30.611,26.502,35.015,14.937,32.781,19.003,25.272,22.62,21.259,23.189,7.629,15.78,20.554,21.941,0.051,0.289,0.361,0.021,6968.268,6191.111,585.855,11.204
Europe,2023,,746948103,,106.945,0.143,4993.221,-235.649,-4.507,5255.421,-234.126,-4.265,7.039,,0.187,6.688,,0.178,1107.824,1.484,,,,9347.075,548198.125,690560.5,288265.281,2981.649,87715.312,155306.453,157564.656,2324.143,38554.629,,86.134,0.115,1772.37,2.374,7.977,9.016,271.363,0.363,1158.833,1.551,424.474,0.568,1858.462,2.489,0.082,61.484,28666.621,6.815,13.213,12.689,7.193,19.326,30.248,26.284,34.503,15.062,32.478,18.952,25.077,22.556,20.96,22.435,7.486,15.222,20.418,21.767,0.051,0.291,0.363,0.021,6734.118,5958.742,,
